Hãng xe,Dòng xe,Giá thành,Năm sản xuất,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Tuổi thọ,Loại động cơ,Dung tích động cơ
Mercedes Benz,E Class E200 2019,1038000000,2019,65000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2017,899000000,2017,67000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2019,1088000000,2019,44000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Ml Class Ml400 Amg 4Matic 2014,819000000,2014,99000,Nhập khẩu,SUV,Số tự động,31,xăng,3.0
Mg,Zs Luxury 1 5 At 2Wd 2021,435000000,2021,60000,Nhập khẩu,Crossover,Số tự động,31,xăng,1.5
Mitsubishi,Outlander Premium 2 0 Cvt 2021,680000000,2021,71000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Toyota,Wigo 1 2G At 2019,285000000,2019,56000,Nhập khẩu,Hatchback,Số tự động,31,xăng,1.2
Vinfast,Fadil 1 4 At Plus 2020,315000000,2020,40000,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,1.4
Vinfast,Fadil 1 4 At Plus 2021,315000000,2021,29000,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,1.4
Vinfast,Fadil 1 4 At Plus 2021,320000000,2021,40000,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,1.4
Vinfast,Fadil Tieu Chuan 1 4 At 2022,330000000,2022,30000,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,1.4
Ford,Everest 2 5L 4X2 At 2014,375000000,2014,0,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.5
Ford,Focus S 2 0 At 2015,315000000,2015,100000,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,2.0
Ford,Ranger Wildtrak 2 0L 4X2 At 2019,550000000,2019,0,Nhập khẩu,Bán tải / Pickup,Số tự động,31,dầu,2.0
Honda,Crv L 2019,733000000,2019,50000,Nhập khẩu,SUV,Số tự động,31,xăng,1.5
Hyundai,Santafe Tieu Chuan 2 2L 2021,815000000,2021,76000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.2
Kia,Carnival Signature 2 2D 2022,1150000000,2022,65000,Lắp ráp trong nước,Van/Minivan,Số tự động,31,dầu,2.2
Kia,Morning Si At 2017,279000000,2017,60000,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,1.25
Kia,Sedona 2 2L Dath 2017,679000000,2017,92000,Lắp ráp trong nước,Van/Minivan,Số tự động,31,dầu,2.2
Mazda,2 1 5 At 2017,339000000,2017,80000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Mercedes Benz,C Class C300 Amg 2012,348000000,2012,130000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,3.0
Mercedes Benz,C Class C300 Amg 2022,1799000000,2022,30,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 200 2019,988000000,2019,46000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 200 2022,1358000000,2022,28000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2023,2358000000,2023,12000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Toyota,Camry 2 5Q 2014,485000000,2014,100000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.5
Toyota,Fortuner 2 4G 4X2 At Legender 2021,930000000,2021,39000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.4
Vinfast,Fadil 1 4 At 2021,290000000,2021,60000,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,1.4
Audi,Q2 1 4 Tfsi 2019,858000000,2019,66000,Nhập khẩu,Crossover,Số tự động,31,xăng,1.4
Ford,Everest Titanium 2 0L 4X2 At 2022,935000000,2022,42000,Nhập khẩu,SUV,Số tự động,31,dầu,2.0
Ford,Everest Titanium 2 0L 4X4 At 2022,1015000000,2022,41000,Nhập khẩu,SUV,Số tự động,31,dầu,2.0
Ford,Ranger Raptor 2 0L 4X4 At 2021,980000000,2021,63000,Nhập khẩu,Bán tải / Pickup,Số tự động,31,dầu,2.0
Ford,Ranger Raptor 2 0L 4X4 At 2023,1155000000,2023,28000,Nhập khẩu,Bán tải / Pickup,Số tự động,31,dầu,2.0
Honda,Crv L 2020,777000000,2020,62000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,1.5
Hyundai,Santafe Cao Cap 2 2L Htrac 2021,890000000,2021,60000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.2
Hyundai,Santafe Cao Cap 2 5L Htrac 2022,1045000000,2022,60000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.5
Kia,Sedona 2 2 Dat Luxury 2020,799000000,2020,90000,Lắp ráp trong nước,Van/Minivan,Số tự động,31,dầu,2.2
Mazda,3 1 5L Luxury 2023,569000000,2023,38000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Mazda,Cx5 2 5 At Awd 2016,500000000,2016,75000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.5
Mazda,Cx5 2 5 Signature Premium 2Wd 2020,690000000,2020,45000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.5
Mercedes Benz,E Class E200 2019,999000000,2019,65000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mitsubishi,Outlander 2 0 Cvt 2022,690000000,2022,45000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Peugeot,2008 Gt Line 1 2 At 2023,665000000,2023,0,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,1.2
Suzuki,Swift Glx 1 2 At 2021,460000000,2021,19000,Nhập khẩu,Hatchback,Số tự động,31,xăng,1.2
Toyota,Fortuner 2 4G 4X2 At Legender 2020,935000000,2020,65000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.4
Toyota,Fortuner 2 8V 4X4 At Legender 2021,1050000000,2021,55000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.8
Toyota,Land Cruiser 3 5 V6 2023,5186000000,2023,36000,Nhập khẩu,SUV,Số tự động,31,xăng,3.4
Volvo,Xc60 Inscription B6 Awd 2022,1699000000,2022,53000,Nhập khẩu,SUV,Số tự động,31,xăng,2.0
Bmw,3 Series 330I M Sport 2021,1399000000,2021,42000,Nhập khẩu,Sedan,Số tự động,31,xăng,2.0
Hyundai,Tucson 2 0 At Dac Biet 2021,699000000,2021,52000,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,2.0
Kia,Carnival Premium 2 2D 2022,1129000000,2022,60000,Lắp ráp trong nước,Van/Minivan,Số tự động,31,dầu,2.2
Kia,Sorento Dath 2015,495000000,2015,130000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.2
Lexus,Rx 350 F Sport 2023,4268000000,2023,14000,Nhập khẩu,SUV,Số tự động,31,xăng,2.4
Mazda,6 2 0L Premium 2018,445000000,2018,146000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,C Class C200 2016,595000000,2016,108000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,C Class C300 Amg 2019,999000000,2019,89000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,C Class C300 Amg 2020,1039000000,2020,30999,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,C Class C300 Amg 2020,1059000000,2020,35000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 200 2019,988000000,2019,44999,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2023,2359000000,2023,12500,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Toyota,Corolla Altis 2 0V Sport 2017,500000000,2017,85000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Toyota,Fortuner 2 4L 4X2 At 2022,935000000,2022,76000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.4
Toyota,Innova 2 0E 2013,238000000,2013,138000,Lắp ráp trong nước,Crossover,Số tay,31,xăng,2.0
Toyota,Innova 2 0G 2019,525000000,2019,177000,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,2.0
Toyota,Land Cruiser Vxr 3 5 V6 2021,5789000000,2021,50000,Nhập khẩu,SUV,Số tự động,31,xăng,3.4
Volkswagen,T,790000000,2023,5000,Nhập khẩu,Crossover,Số tự động,31,xăng,1.0
Volvo,S90 Inscription T6 2020,1399000000,2020,34000,Nhập khẩu,Sedan,Số tự động,31,xăng,2.0
Bmw,3 Series 320I M Sport 2024,1599000000,2024,9100,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Bmw,4 Series 430I Convertible M Sport 2023,2638000000,2023,22000,Nhập khẩu,Convertible/Cabriolet,Số tự động,31,xăng,2.0
Honda,Hrv G 2018,486000000,2018,77000,Nhập khẩu,Crossover,Số tự động,31,xăng,1.8
Mercedes Benz,C Class C200 2016,595000000,2016,102000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,C Class C200 2016,580000000,2016,69000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,C Class C200 2016,579000000,2016,69000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,C Class C200 2016,579000000,2016,69173,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,E Class E200 2019,1039000000,2019,65458,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 200 2022,1359000000,2022,28000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 200 4Matic 2021,1389000000,2021,53000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2019,1099000000,2019,84000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2019,1089000000,2019,71000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mitsubishi,Grandis 2 4 At 2005,188000000,2005,100000,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,2.4
Mitsubishi,Xpander Premium 1 5 At 2022,535000000,2022,60000,Nhập khẩu,SUV,Số tự động,31,xăng,1.5
Nissan,Sunny Xv Premium S 2018,253000000,2018,80000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Porsche,Panamera 4 Executive 2023,6478000000,2023,13333,Nhập khẩu,Sedan,Số tự động,31,xăng,2.9
Toyota,Corolla Cross 1 8G 2020,630000000,2020,62000,Nhập khẩu,SUV,Số tự động,31,xăng,1.8
Toyota,Innova 2 0E 2017,435000000,2017,109000,Lắp ráp trong nước,Crossover,Số tay,31,xăng,2.0
Toyota,Vios G 1 5 Cvt 2022,445000000,2022,45000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Ford,Focus Titanium 2 0 At 2014,289000000,2014,130000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Ford,Transit Svp 2018,410000000,2018,100000,Lắp ráp trong nước,Van/Minivan,Số tay,31,dầu,2.4
Honda,City Rs 1 5 At 2023,495000000,2023,50000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Honda,Civic 1 8 At 2009,218000000,2009,90000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.8
Honda,Crv 2 0 At 2015,475000000,2015,110000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Hyundai,I10 Grand 1 2 At 2019,298000000,2019,39000,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,1.25
Hyundai,Santafe Cao Cap 2 5L Htrac 2023,1125000000,2023,48000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.5
Hyundai,Santafe Premium 2 2L Htrac 2020,875000000,2020,60000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.2
Kia,Carnival Signature 2 2D 2023,1265000000,2023,60000,Lắp ráp trong nước,Van/Minivan,Số tự động,31,dầu,2.2
Lexus,Gx 470 2005,520000000,2005,100000,Nhập khẩu,SUV,Số tự động,31,xăng,4.7
Mazda,6 2 0L Premium 2018,465000000,2018,90000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mazda,6 2 5L Premium 2017,439000000,2017,90000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.5
Mercedes Benz,E Class E200 Exclusive 2022,1959000000,2022,16500,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,G Class G63 Amg 2019,7350000000,2019,18000,Nhập khẩu,SUV,Số tự động,31,xăng,4.0
Mercedes Benz,Glc 300 4Matic 2019,1088000000,2019,85000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mitsubishi,Pajero Sport D 4X2 At 2012,345000000,2012,8000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.5
Toyota,4 Runner Limited 2013,1579000000,2013,1126540,Nhập khẩu,SUV,Số tự động,31,xăng,4.0
Toyota,Camry Le 2 5 2009,420000000,2009,156000,Nhập khẩu,Sedan,Số tự động,31,xăng,2.5
Toyota,Corolla Cross 1 8V 2021,650000000,2021,55000,Nhập khẩu,SUV,Số tự động,31,xăng,1.8
Toyota,Land Cruiser Vx 4 6 V8 2016,2950000000,2016,140000,Nhập khẩu,SUV,Số tự động,31,xăng,4.6
Daewoo,Matiz Se 0 8 Mt 2004,45000000,2004,15555,Lắp ráp trong nước,Hatchback,Số tay,31,xăng,0.8
Ford,Ecosport Titanium 1 0 Ecoboost 2018,415000000,2018,98238,Lắp ráp trong nước,SUV,Số tự động,31,xăng,1.0
Ford,Ecosport Titanium 1 5L At 2019,379000000,2019,84000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,1.5
Ford,Everest Titanium 2 0L 4X2 At 2022,1150000000,2022,40000,Nhập khẩu,SUV,Số tự động,31,dầu,2.0
Ford,Everest Titanium 2 0L 4X2 At 2024,1265000000,2024,13000,Nhập khẩu,SUV,Số tự động,31,dầu,2.0
Ford,Focus Titanium 1 5L 2016,365000000,2016,140000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Ford,Ranger Xls 2 2L 4X2 At 2021,565000000,2021,100000,Nhập khẩu,Bán tải / Pickup,Số tự động,31,dầu,2.2
Lexus,Rx 300 2021,2799000000,2021,70000,Nhập khẩu,SUV,Số tự động,31,xăng,2.0
Lexus,Rx 350 2009,699000000,2009,77000,Nhập khẩu,SUV,Số tự động,31,xăng,3.5
Mercedes Benz,C Class C250 2012,350000000,2012,80000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.8
Mercedes Benz,E Class E200 Exclusive 2021,1450000000,2021,54000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,G Class G63 Amg Edition 1 2021,8400000000,2021,50000,Nhập khẩu,SUV,Số tự động,31,xăng,4.0
Mercedes Benz,Glc 200 2022,1359000000,2022,39000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Suzuki,Swift Glx 1 2 At 2023,515000000,2023,0,Nhập khẩu,Hatchback,Số tự động,31,xăng,1.2
Toyota,Camry 2 0E 2017,575000000,2017,93000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Toyota,Hilux 2 5E 4X2 Mt 2013,375000000,2013,192365,Nhập khẩu,Bán tải / Pickup,Số tay,31,dầu,2.5
Toyota,Innova Cross Hev 2 0 Cvt 2025,1025000000,2025,3000,Nhập khẩu,Crossover,Số tự động,31,khác,
Toyota,Vios E Cvt 2022,415000000,2022,43000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Toyota,Vios G 1 5 Cvt 2022,455000000,2022,78000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Vinfast,Vf3 Plus 2024,229000000,2024,10012,Lắp ráp trong nước,Hatchback,Số tự động,31,điện,0.0
Audi,A4 2 0 Tfsi 2016,660000000,2016,110000,Nhập khẩu,Sedan,Số tự động,31,xăng,2.0
Honda,Brio Rs 2021,365000000,2021,24000,Nhập khẩu,Hatchback,Số tự động,31,xăng,1.2
Hyundai,Genesis 2 0 At 2011,369000000000000,2011,67000,Nhập khẩu,Coupe,Số tự động,31,xăng,2.0
Mazda,3 1 5L Luxury 2022,558000000,2022,21000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Mazda,3 2 0L Sport Signature Premium 2019,485000000,2019,36500,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,2.0
Mercedes Benz,C Class C200 Avantgarde Plus 2022,1279000000,2022,22000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Mercedes Benz,E Class E180 2021,1249000000,2021,36000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Mercedes Benz,E Class E180 2021,1249000000,2021,43000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Mercedes Benz,E Class E200 Exclusive 2021,1499000000,2021,38000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,Eqs 500 4Matic 2024,4379000000,2024,50,Nhập khẩu,SUV,Số tự động,31,điện,0.0
Mercedes Benz,G Class G63 Amg 2021,8999000000,2021,30000,Nhập khẩu,SUV,Số tự động,31,xăng,4.0
Mercedes Benz,Glc 200 4Matic 2022,1646000000,2022,9000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2022,1949000000,2022,35,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2023,2449000000,2023,50,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2023,2449000000,2023,35,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,S Class S450 4Matic Luxury 2023,5099000000,2023,15,Nhập khẩu,Sedan,Số tự động,31,xăng,3.0
Mercedes Benz,S Class S450 4Matic Luxury 2023,5529000000,2023,3500,Nhập khẩu,Sedan,Số tự động,31,xăng,3.0
Mercedes Benz,V Class V250 Maybach Luxury 2022,3699000000,2022,100,Nhập khẩu,Van/Minivan,Số tự động,31,xăng,2.0
Toyota,Fortuner Legender 2 4L 4X2 At 2025,1199000000,2025,10,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.4
Toyota,Prado Txl 2 7L 2015,1080000000,2015,100000,Nhập khẩu,SUV,Số tự động,31,xăng,2.7
Honda,Crv L 2018,690000000,2018,98000,Nhập khẩu,SUV,Số tự động,31,xăng,1.5
Hyundai,Accent Cao Cap 1 5 At 2025,529000000,2025,0,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Hyundai,Accent Cao Cap 1 5 At 2025,529000000,2025,0,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Hyundai,Kona 2 0 Ath 2019,455000000,2019,62000,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,2.0
Hyundai,Santafe 2 2L 4Wd 2017,655000000,2017,150000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.2
Hyundai,Santafe Cao Cap 2 2L Htrac 2021,995000000,2021,33000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.2
Hyundai,Tucson 2 0 Ath 2019,630000000,2019,79000,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,2.0
Kia,Seltos Luxury 1 4 At 2021,520000000,2021,73000,Lắp ráp trong nước,Crossover,Số tự động,31,xăng,1.4
Lexus,Lm 500H 2024,8390000000,2024,12000,Nhập khẩu,Van/Minivan,Số tự động,31,khác,
Mazda,3 1 5 At 2016,340000000,2016,79000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Mazda,3 1 5L Deluxe 2022,495000000,2022,41000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.5
Mercedes Benz,C Class C300 Amg 2021,1199000000,2021,38000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 250 4Matic 2016,769000000,2016,75000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2018,1050000000,2018,54000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mitsubishi,Outlander Premium 2 0 Cvt 2021,685000000,2021,65000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Porsche,Cayenne 3 0 V6 2023,6589000000,2023,2900,Nhập khẩu,SUV,Số tự động,31,xăng,3.0
Toyota,Fortuner 2 4G 4X2 Mt 2019,775000000,2019,20000,Nhập khẩu,SUV,Số tay,31,dầu,2.4
Toyota,Fortuner 2 7V 4X2 At 2020,730000000,2020,87000,Nhập khẩu,SUV,Số tự động,31,xăng,2.7
Toyota,Fortuner 2 7V 4X4 At 2011,360000000,2011,34000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.7
Toyota,Wigo 1 2 At 2021,305000000,2021,4500,Nhập khẩu,Hatchback,Số tự động,31,xăng,1.2
Bmw,3 Series 320I Sport Line 2024,1559000000,2024,33000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Bmw,X3 Sdrive20I M Sport 2024,1979000000,2024,9979,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Bmw,X5 Xdrive40I M Sport 2022,2899000000,2022,28000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,3.0
Ford,Everest Titanium 2 0L 4X4 At 2022,940000000,2022,98000,Nhập khẩu,SUV,Số tự động,31,dầu,2.0
Hyundai,Custin Cao Cap 2 0T 2025,950000000,2025,10000,Lắp ráp trong nước,Van/Minivan,Số tự động,31,xăng,2.0
Lexus,Lx 600 Urban 2025,9399000000,2025,4000,Nhập khẩu,SUV,Số tự động,31,xăng,3.4
Lexus,Rx 350 Awd 2009,695000000,2009,132000,Nhập khẩu,SUV,Số tự động,31,xăng,3.5
Mazda,Cx5 2 0 Premium 2020,665000000,2020,0,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,E Class E300 Amg 2022,1759000000,2022,55000,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,2.0
Mercedes Benz,G Class G63 Amg 2023,9888000000,2023,5000,Nhập khẩu,SUV,Số tự động,31,xăng,4.0
Mercedes Benz,Gla Class Gla 200 2019,949000000,2019,21000,Nhập khẩu,SUV,Số tự động,31,xăng,1.6
Mercedes Benz,Glc 200 4Matic 2022,1498000000,2022,35000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 250 4Matic 2017,780000000,2017,0,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.0
Mercedes Benz,Glc 300 4Matic 2023,2298000000,2023,28000,Lắp ráp trong nước,SUV,Số tự động,31,khác,
Mercedes Benz,Glc 300 4Matic 2025,2479000000,2025,1600,Lắp ráp trong nước,SUV,Số tự động,31,khác,
Mercedes Benz,S Class S450 Luxury 2021,3799000000,2021,46400,Nhập khẩu,Sedan,Số tự động,31,xăng,3.0
Suzuki,Swift 1 4 At 2014,255000000,2014,0,Lắp ráp trong nước,Hatchback,Số tự động,31,xăng,1.4
Toyota,Corolla Altis 1 8G At 2010,288000000,2010,0,Lắp ráp trong nước,Sedan,Số tự động,31,xăng,1.8
Toyota,Fortuner 2 7V 4X4 At 2011,323000000,2011,12000,Lắp ráp trong nước,SUV,Số tự động,31,xăng,2.7
Volkswagen,Teramont President 2 0 At 2024,2278000000,2024,18000,Nhập khẩu,SUV,Số tự động,31,xăng,2.0
Ford,Ranger Raptor 2 0L 4X4 At 2024,1175000000,2024,39000,Nhập khẩu,Bán tải / Pickup,Số tự động,31,dầu,2.0
Hyundai,Santafe Cao Cap 2 2L Htrac 2022,1115000000,2022,67000,Lắp ráp trong nước,SUV,Số tự động,31,dầu,2.2
